university_name,domain,category
부산대학교,pusan.ac.kr,STUDENT
부산대학교,pnu.edu,STUDENT
국립부경대학교,pukyong.ac.kr,STUDENT
국립부경대학교,pknu.ac.kr,STUDENT
국립한국해양대학교,g.kmou.ac.kr,STUDENT
국립한국해양대학교,kmou.ac.kr,STUDENT
동아대학교,donga.ac.kr,STUDENT
경성대학교,kyungsung.ac.kr,STUDENT
경성대학교,ks.ac.kr,STUDENT
동의대학교,deu.ac.kr,STUDENT
신라대학교,sillain.ac.kr,STUDENT
부산외국어대학교,office.bufs.ac.kr,STUDENT
동서대학교,dsu.dongseo.ac.kr,STUDENT
동서대학교,dongseo.ac.kr,STUDENT
동명대학교,g.tu.ac.kr,STUDENT
동명대학교,o365.tu.ac.kr,STUDENT
부산가톨릭대학교,cup.ac.kr,STUDENT
고신대학교,kosin.ac.kr,STUDENT
고신대학교,kucm.ac.kr,STUDENT
부산교육대학교,g.bnue.ac.kr,STUDENT
부산교육대학교,bnue.ac.kr,STUDENT
영산대학교,ysu.ac.kr,STUDENT
부산디지털대학교,bdu.ac.kr,STUDENT
부산디지털대학교,gclass.bdu.ac.kr,STUDENT
울산대학교,mail.ulsan.ac.kr,STUDENT
울산대학교,ulsan.ac.kr,STUDENT
울산과학기술원,unist.ac.kr,STUDENT
경상국립대학교,gnu.ac.kr,STUDENT
국립창원대학교,gs.cwnu.ac.kr,STUDENT
인제대학교,go.inje.ac.kr,STUDENT
인제대학교,o365.inje.ac.kr,STUDENT
경남대학교,o365.kyungnam.ac.kr,STUDENT
경남대학교,kyungnam.ac.kr,STUDENT
진주교육대학교,cue.ac.kr,STUDENT
한국폴리텍대학,kopo.ac.kr,STUDENT
마산대학교,o365.masan.ac.kr,STUDENT
경남정보대학교,kit.ac.kr,STUDENT
동의과학대학교,dit.ac.kr,STUDENT
동의과학대학교,g.dit.ac.kr,STUDENT
부산과학기술대학교,bist.ac.kr,STUDENT
부산과학기술대학교,o365.bist.ac.kr,STUDENT
부산경상대학교,bsks.ac.kr,STUDENT
부산여자대학교,bwc.ac.kr,STUDENT
대동대학교,daedong.ac.kr,STUDENT
부산예술대학교,pusanarts.ac.kr,STUDENT
울산과학대학교,go.uc.ac.kr,STUDENT
울산과학대학교,o365.uc.ac.kr,STUDENT
춘해보건대학교,ch.ac.kr,STUDENT
춘해보건대학교,o365.ch.ac.kr,STUDENT
연암공과대학교,yc.ac.kr,STUDENT
진주보건대학교,jhc.ac.kr,STUDENT
김해대학교,gsc.ac.kr,STUDENT
거제대학교,koje.ac.kr,STUDENT
동원과학기술대학교,dist.ac.kr,STUDENT
창원문성대학교,cmu.ac.kr,STUDENT
창원문성대학교,office.cmu.ac.kr,STUDENT
한국승강기대학교,klc.ac.kr,STUDENT
경남도립거창대학,gc.ac.kr,STUDENT
경남도립남해대학,namhae.ac.kr,STUDENT
